"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,2300,2350,2395,2450,2500,2600,2750,2600,2500,2495,2500,2500,2500,2400,2495,2500,2500,2500,2450,2400,2350,2250,2200,2200,2250,2200,2195,2200,2250,2150,2050,2150,2000,1995,1950,2000,2006,2000,2000,2100,2075,1995,1900,2100,2250,2150,2300,2275,2250,2250,2250,2350,2450,2500,2500,2500,2500,2500,2595,2600,2550,2600,2700,2750,2800,2800,2800,2800,2800,2800,2800,2800,2850,2900,2895,2800,2850,2850,2775,2900,2750,2950,2725,2850,2900,3000,3092.5,3100,3100,3088,3000,3000,3000,3000,3000,3000,3000,3000,3095,3122.5,3200
"Cook","IL","Chicago","17","031",2,,1600,1500,1500,1500,1500,1550,1580,1600,1600,1650,1690,1600,1595,1550,1600,1600,1600,1639,1621,1625,1600,1568,1550,1575,1595,1600,1550,1550,1600,1600,1600,1545,1545,1500,1544,1539,1525,1550,1536.5,1575,1581,1600,1600,1617,1636,1608,1650,1619,1600,1600,1600,1685,1700,1700,1700,1700,1700,1698,1695,1675,1675,1699,1698,1699,1700,1700,1700,1700,1665,1675,1650,1655,1695,1700,1700,1695,1695,1695,1695,1650,1655,1650,1650,1650,1655,1675,1700,1748,1750,1775,1750,1750,1700,1700,1695,1695,1700,1710,1725,1750,1800
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1300,1300,1300,1300,1375,1400,1420,1450,1450,1450,1450,1450,1450,1459,1459,1499,1525,1550,1550,1550,1525,1500,1500,1500,1525,1525,1550,1550,1550,1500,1500,1500,1500,1495,1450,1475,1412,1495,1499,1500,1500,1525,1527,1525,1500,1530,1500,1500,1500,1500,1500,1515.5,1550,1595,1599
"Maricopa","AZ","Phoenix","04","013",4,,,1550,1500,1450,1395,1350,1395,1300,1300,1300,1300,1200,1200,1195,1200,1200,1200,1175,1150,1150,1100,1100,1100,1100,1100,1150,1150,1150,1150,1150,1125,1100,1100,1100,1100,1100,1100,1100,1125,1125,1125,1100,1095,1149,1150,1150,1150,1150,1150,1150,1150,1200,1200,1200,1228.5,1200,1200,1225,1250,1250,1295,1300,1325,1325,1325,1300,1300,1299,1298.5,1300,1325,1350,1350,1375,1395,1325,1335,1300,1300,1295,1299,1300,1265,1329,1350,1395,1400,1429.5,1436,1425,1400,1400,1400,1400,1400,1400,1450,1450,1495,1500,1500
"San Diego","CA","San Diego","06","073",5,,,3000,3275,2925,2972.5,3500,3500,2900,2795,2600,2600,2175,2200,2200,2275,2295,2295,2200,2200,2195,2150,2095,2050,2000,2000,2000,1900,1900,1995,1995,1995,2000,1995,1995,1950,1950,1900,1925,1950,1995,2000,1995,1900,2150,2195,2186.5,2200,2200,2150,2150,2120,2250,2250,2250,2295,2300,2300,2300,2300,2300,2350,2300,2295,2295,2300,2300,2300,2300,2300,2350,2350,2395,2395,2399,2395,2350,2395,2350,2350,2395,2300,2300,2300,2399.5,2450,2500,2500,2550,2575,2595,2595,2575,2550,2500,2550,2545,2600,2600,2695,2700,2700
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,2450,2500,2525,2595,2797.5,2800,2650,2475,2500,2500,2475,2400,2500,2500,2550,2595,2595,2600,2550,2500,2450,2495,2450,2500,2450,2400,2500,2500,2500,2500,2495,2495,2400,2400,2400,2450,2450,2500,2500,2500,2510,2400,2595,2600,2600,2650,2650,2650,2600,2600,2700,2740,2700,2750,2750,2750,2750,2750,2750,2750,2795,2775,2800,2800,2850,2895,2850,2800,2800,2850,2875,2900,2900,2850,2850,2900,2850,2800,2800,2800,2900,2795,2850,2950,3000,3000,3100,3150,3150,3100,3000,3000,3000,3050,3095,3100,3100,3150,3200,3200
"Kings","NY","New York","36","047",7,,,,,1900,1950,2000,2200,2083,2000,2000,2200,1895,1800,1920,1950,1900,1900,1950,2000,2100,2100,1895,1800,1800,1800,1800,1800,1875,1925,1950,1999,2000,1950,1900,1900,1950,1975,1975,2000,2200,2200,2200,2300,2350,2449,2452.5,2500,2515,2550,2550,2550,2545,2500,2550,2600,2600,2700,2600,2400,2600,2550,2575,2600,2600,2700,2700,2700,2700,2700,2700,2700,2700,2700,2650,2600,2600,2600,2600,2650,2700,2800,2700,2500,2500,2500,2500,2500,2500,2600,2600,2600,2600,2550,2500,2500,2500,2487,2400,2482.5,2500,2500
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,1950,1900,1850,1900,1950,2100,2000,1900,1885,1900,1800,1700,1700,1750,1764,1775,1750,1750,1775,1800,1800,1800,1800,1800,1850,1850,1850,1900,1850,1800,1800,1800,1800,1800,1821,1850,1900,1900,1950,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1995,2000,2000,2100,2000,2050,2050,2000,2000,2000,2100,2200,2200,2222,2250,2300,2300,2200,2200,2250,2300,2300,2300,2300,2200,2200,2200,2175,2100,2100,2100,2200,2000,2100,2100,2150,2200,2200,2175,2175,2200,2200,2200,2200,2200,2200,2200,2200,2200,2250,2250
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,1200,1200,1200,1200,1200,1225,1200,1195,1161.5,1150,1170,1150,1200,1195,1050,1112,1195,1139.5,1100,1150,1150,1195,1170,1125,1150,1195,1170,1195,1250,1250,1200,1250,1250,1250,1295,1250,1250,1250,1250,1300,1300,1325,1325,1300,1300,1300,1325,1345,1350,1375,1395,1395,1399,1400,1425,1395,1395,1395,1395,1400,1400,1455,1450,1467,1450,1450,1450,1450,1450,1492.5,1450,1495,1500,1550,1595,1600,1650,1625,1600,1600,1580,1575,1592.5,1590,1575,1595,1625,1625,1650
"Queens","NY","New York","36","081",10,,1600,1600,1700,1650,1650,1600,1600,1600,1650,1600,1600,1650,1650,1600,1600,1650,1650,1600,1600,1650,1600,1600,1600,1600,1600,1650,1650,1650,1600,1595,1600,1650,1700,1700,1700,1700,1695,1700,1700,1750,1800,1895,1930,2000,2000,2000,2000,2000,2000,1950,1950,2000,2000,2060,2100,2100,2100,2100,2150,2165,2195,2200,2200,2200,2250,2250,2255,2300,2245,2200,2250,2235,2250,2250,2250,2200,2225,2200,2222,2275,2200,2250,2250,2250,2300,2300,2300,2325,2350,2400,2400,2400,2350,2300,2300,2300,2300,2250,2295,2300,2300
