"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-06-30,3101,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim",0,609400,0.000985545335085414,0.0042847725774555,0.081263307310149,,,"2018-06","2018-Q2",609400,0,"2018-06"
2018-06-30,139,"Cook","IL","Chicago",1,220300,0.000454132606721163,0.00455996352029184,0.0495474035254883,,,"2007-01","2007-Q1",266900,-0.174597227426002,"2004-04"
2018-06-30,1090,"Harris","TX","Houston",2,182800,0.00219298245614035,0.0110619469026549,0.0572585309427415,,,"2018-06","2018-Q2",182800,0,"2018-06"
2018-06-30,2402,"Maricopa","AZ","Phoenix",3,261300,0.00345622119815668,0.0155460551884959,0.0784151877837392,,,"2006-05","2006-Q2",290300,-0.0998966586290045,"2005-09"
2018-06-30,2841,"San Diego","CA","San Diego",4,583700,-0.000513698630136986,0.00068575347162695,0.0659240321402484,,,"2018-04","2018-Q2",584100,-0.000684814244136278,"2018-04"
2018-06-30,1286,"Orange","CA","Los Angeles-Long Beach-Anaheim",5,717800,0.00321453529000699,0.0105589187667183,0.0583898554998526,,,"2018-06","2018-Q2",717800,0,"2018-06"
2018-06-30,581,"Kings","NY","New York",6,791300,0.00227992400253325,0.0142271212509613,0.0940135490114752,,,"2018-06","2018-Q2",791300,0,"2018-06"
2018-06-30,2964,"Miami-Dade","FL","Miami-Fort Lauderdale",7,293800,0.00616438356164384,0.0169608861197646,0.0699198834668609,,,"2007-02","2007-Q1",325100,-0.096278068286681,"2006-02"
2018-06-30,978,"Dallas","TX","Dallas-Fort Worth",8,195600,0.00720906282183316,0.0240837696335078,0.115801483171706,,,"2018-06","2018-Q2",195600,0,"2018-06"
2018-06-30,1347,"Queens","NY","New York",9,638000,0.00710339384372534,0.0260533933740753,0.0935893040795338,,,"2018-06","2018-Q2",638000,0,"2018-06"
2018-06-30,2832,"Riverside","CA","Riverside",10,372600,0.0062111801242236,0.0125,0.0831395348837209,,,"2006-07","2006-Q3",426900,-0.127196064652143,"2005-03"
2018-06-30,3250,"San Bernardino","CA","Riverside",11,339800,0.00532544378698225,0.0191961607678464,0.0832005100414409,,,"2006-07","2006-Q3",390300,-0.129387650525237,"2005-08"
2018-06-30,445,"Clark","NV","Las Vegas",12,264300,0.00954927425515661,0.0284046692607004,0.150130548302872,,,"2006-06","2006-Q2",316800,-0.165719696969697,"2004-10"
2018-06-30,207,"King","WA","Seattle",13,641800,0.00422469097167892,0.0127820735363737,0.122813156053184,,,"2018-06","2018-Q2",641800,0,"2018-06"
2018-06-30,791,"Wayne","MI","Detroit",14,74100,0.00816326530612245,0.0540540540540541,0.258064516129032,,,"2005-12","2005-Q4",116200,-0.362306368330465,"1998-11"
2018-06-30,2049,"Tarrant","TX","Dallas-Fort Worth",15,201100,0.00499750124937531,0.0146316851664985,0.101917808219178,,,"2018-06","2018-Q2",201100,0,"2018-06"
2018-06-30,3136,"Santa Clara","CA","San Jose",16,1316600,0.0144078896679251,0.0495017935432443,0.276022484977709,,,"2018-06","2018-Q2",1316600,0,"2018-06"
2018-06-30,1561,"Broward","FL","Miami-Fort Lauderdale",17,255200,0.00789889415481832,0.0220264317180617,0.11053089643168,,,"2006-10","2006-Q4",292400,-0.127222982216142,"2005-08"
2018-06-30,386,"Bexar","TX","San Antonio",18,173700,0.00230813618003462,0.00754060324825986,0.0709001233045623,,,"2018-06","2018-Q2",173700,0,"2018-06"
2018-06-30,2452,"New York","NY","New York",19,1332100,-0.00134942649374016,0.0127727514635444,0.00794491525423729,,,"2018-05","2018-Q2",1333900,-0.00134942649374016,"2018-05"
2018-06-30,3175,"Philadelphia","PA","Philadelphia",20,149200,0.0067476383265857,0.0212183436002738,0.115931189229619,,,"2018-06","2018-Q2",149200,0,"2018-06"
2018-06-30,1510,"Alameda","CA","San Francisco",21,880500,0.00341880341880342,0.0156880839773907,0.127689549180328,,,"2018-06","2018-Q2",880500,0,"2018-06"
2018-06-30,2801,"Middlesex","MA","Boston",22,538200,0.00522973477773627,0.016046818954125,0.0818090452261307,,,"2018-06","2018-Q2",538200,0,"2018-06"
2018-06-30,2046,"Suffolk","NY","New York",23,379000,-0.00785340314136126,-0.0148167403171302,0.0259880887926367,,,"2006-05","2006-Q2",448000,-0.154017857142857,"2004-07"
2018-06-30,3017,"Sacramento","CA","Sacramento",24,358600,0.00363839910439407,0.00702049985959,0.0615748963883955,,,"2005-11","2005-Q4",385800,-0.0705028512182478,"2005-03"
2018-06-30,401,"Bronx","NY","New York",25,413600,0.00828863968795709,0.037111334002006,0.126975476839237,,,"2018-06","2018-Q2",413600,0,"2018-06"
2018-06-30,1252,"Nassau","NY","New York",26,528700,0.00532420612283704,0.0226305609284333,0.0874125874125874,,,"2018-06","2018-Q2",528700,0,"2018-06"
2018-06-30,2993,"Palm Beach","FL","Miami-Fort Lauderdale",27,266700,0.00414156626506024,0.0121442125237192,0.0629732961339179,,,"2006-06","2006-Q2",325100,-0.179637034758536,"2005-04"
2018-06-30,2241,"Cuyahoga","OH","Cleveland",28,125100,0,0.0105008077544426,0.0683176771989752,,,"2005-07","2005-Q3",135100,-0.074019245003701,"2003-02"
2018-06-30,3165,"Hillsborough","FL","Tampa",29,213800,0.00281425891181989,0.011352885525071,0.0980996404725218,,,"2006-09","2006-Q3",230700,-0.0732553099263112,"2006-03"
