,RegionName,2010-avg,2011-avg,2012-avg,2013-avg,2014-avg,2015-avg,2016-avg,2017-avg,2018-avg
47,District of Columbia,2388.5,2447.25,2438.75,2497.9166666666665,2505.9166666666665,2608.6666666666665,2637.1666666666665,2715.5,2683.8333333333335
0,California,1987.5,1957.6666666666667,1945.9166666666667,1992.6666666666667,2077.4166666666665,2246.3333333333335,2361.1666666666665,2456.0833333333335,2508.3333333333335
39,Hawaii,2308.0,2134.25,2116.6666666666665,2251.1666666666665,2175.5,2490.6666666666665,2531.25,2532.0833333333335,2467.6666666666665
13,Massachusetts,1714.5,1736.0,1804.5,1808.6666666666667,1873.8333333333333,2055.3333333333335,2163.1666666666665,2222.3333333333335,2217.1666666666665
10,New Jersey,1825.5,1845.4166666666667,1874.75,1918.6666666666667,1942.0833333333333,2006.8333333333333,2047.3333333333333,2066.0833333333335,2045.0
2,New York,1661.0,1698.0833333333333,1724.5,1770.1666666666667,1828.1666666666667,1924.5833333333333,2004.4166666666667,2026.8333333333333,2028.0
21,Colorado,1319.0,1380.6666666666667,1405.8333333333333,1481.5,1566.6666666666667,1739.1666666666667,1846.0,1879.4166666666667,1913.0
12,Washington,1369.0,1388.9166666666667,1387.9166666666667,1431.25,1486.6666666666667,1566.0,1650.8333333333333,1766.5,1824.5
18,Maryland,1678.5,1678.6666666666667,1688.5,1714.5,1737.1666666666667,1778.4166666666667,1788.25,1794.75,1796.0
28,Connecticut,1740.0,1715.5833333333333,1709.0833333333333,1708.8333333333333,1743.8333333333333,1791.9166666666667,1833.1666666666667,1809.25,1783.0
